26,Bucknell,Patriot,fcs,#000060,#00316e,NULL,Bison,http://a.espncdn.com/i/teamlogos/ncaa/500/2083.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2083.png,@Bucknell_FB
27,Buffalo,Mid-American,fbs,#041A9B,#ebebeb,NULL,Bulls,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2084.png,@UBFootball
28,Butler,Pioneer,fcs,#0d1361,#00a3e0,NULL,Bulldogs,http://a.espncdn.com/i/teamlogos/ncaa/500/2086.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2086.png,@ButlerUFootball
29,BYU,Big 12,fbs,#001E4C,#ffffff,NULL,Cougars,http://a.espncdn.com/i/teamlogos/ncaa/500/252.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/252.png,@BYUFootball
30,California,Pac-12,fbs,#031522,#ffc423,NULL,Golden Bears,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/25.png,@CalFootball
31,Cal Poly,Big Sky,fcs,#1E4D2B,#eed897,NULL,Mustangs,http://a.espncdn.com/i/teamlogos/ncaa/500/13.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/13.png,@CalPolyFootball
32,Campbell,CAA,fcs,#000000,NULL,NULL,Camels,http://a.espncdn.com/i/teamlogos/ncaa/500/2097.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2097.png,@GoCamelsFB
33,Central Arkansas,UAC,fcs,#a7a9ac,#8e959a,NULL,Bears,http://a.espncdn.com/i/teamlogos/ncaa/500/2110.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2110.png,@UCA_Football
34,Central Connecticut,NEC,fcs,#1B49A2,#d1d5d8,NULL,Blue Devils,http://a.espncdn.com/i/teamlogos/ncaa/500/2115.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2115.png,@CCSUfootball
35,Central Michigan,Mid-American,fbs,#6a0032,#ffffff,NULL,Chippewas,http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2117.png,@CMU_Football
36,Charleston Southern,Big South-OVC,fcs,#2e3192,#ded090,NULL,Buccaneers,http://a.espncdn.com/i/teamlogos/ncaa/500/2127.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2127.png,@CSUFB
37,Charlotte,American Athletic,fbs,#ffffff,#cfab7a,NULL,49ers,http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2429.png,@CharlotteFTBL
38,Chattanooga,Southern,fcs,#00386b,#dca71d,NULL,Mocs,http://a.espncdn.com/i/teamlogos/ncaa/500/236.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/236.png,@GoMocsFB
39,Cincinnati,Big 12,fbs,#000000,#717073,NULL,Bearcats,http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2132.png,@GoBearcatsFB
40,Clemson,ACC,fbs,#F66733,#522d80,NULL,Tigers,http://a.espncdn.com/i/teamlogos/ncaa/500/228.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png,@ClemsonFB
41,Coastal Carolina,Sun Belt,fbs,#007073,#876447,NULL,Chanticleers,http://a.espncdn.com/i/teamlogos/ncaa/500/324.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/324.png,@CoastalFootball
42,Colgate,Patriot,fcs,#8B011D,#231f20,NULL,Raiders,http://a.espncdn.com/i/teamlogos/ncaa/500/2142.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2142.png,@ColgateFB
43,Colorado,Pac-12,fbs,#d1c57e,#ffd200,NULL,Buffaloes,http://a.espncdn.com/i/teamlogos/ncaa/500/38.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/38.png,@CUBuffsFootball
44,Colorado State,Mountain West,fbs,#004537,#ffc425,NULL,Rams,http://a.espncdn.com/i/teamlogos/ncaa/500/36.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/36.png,@CSUFootball
45,Columbia,Ivy,fcs,#174785,#004b85,NULL,Lions,http://a.espncdn.com/i/teamlogos/ncaa/500/171.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/171.png,@ColumbiaLionsFB
46,Connecticut,FBS Independents,fbs,#001d40,#f1f2f3,NULL,Huskies,http://a.espncdn.com/i/teamlogos/ncaa/500/41.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/41.png,@UConnFootball
47,Cornell,Ivy,fcs,#d60027,#101010,NULL,Big Red,http://a.espncdn.com/i/teamlogos/ncaa/500/172.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/172.png,@BigRed_Football
48,Dartmouth,Ivy,fcs,#005730,#000000,NULL,Big Green,http://a.espncdn.com/i/teamlogos/ncaa/500/159.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/159.png,@DartFootball
49,Davidson,Pioneer,fcs,#000000,#e51837,NULL,Wildcats,http://a.espncdn.com/i/teamlogos/ncaa/500/2166.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2166.png,@DavidsonFB
50,Dayton,Pioneer,fcs,#004B8D,#ffffff,NULL,Flyers,http://a.espncdn.com/i/teamlogos/ncaa/500/2168.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2168.png,@DaytonFootball
51,Delaware,CAA,fcs,#033594,#e8ce31,NULL,Blue Hens,http://a.espncdn.com/i/teamlogos/ncaa/500/48.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/48.png,@DelawareFB
52,Delaware State,MEAC,fcs,#FF3630,#009cdd,NULL,Hornets,http://a.espncdn.com/i/teamlogos/ncaa/500/2169.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2169.png,@DelSt_Football
53,Drake,Pioneer,fcs,#004477,#c0c0c0,NULL,Bulldogs,http://a.espncdn.com/i/teamlogos/ncaa/500/2181.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2181.png,@DrakeBulldogsFB
